Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,BbAvH,BbAvD,BbAvA
E0,21/12/2002,Birmingham,Charlton,1,1,D,0,1,A,R Styles,8,8,5,5,15,21,5,5,4,4,1,0,2.2,3.25,2.8,2.22,3.2,3.04,2.2,3,2.9,2.2,3.25,2.75,2.2,3.2,2.88,2.2,3.2,2.875,2.1,3.2,3,1.95,1.65,2.1,1.66,2.188571429,3.185714286,2.892142857
E0,21/12/2002,Chelsea,Aston Villa,2,0,H,1,0,H,M Riley,16,12,8,4,9,18,6,4,0,3,0,0,1.5,3.5,6,1.55,4.01,6.25,1.55,3.5,4.8,1.5,3.4,6,1.5,3.5,6,1.5,3.4,6.5,1.5,3.4,6,1.8,1.83,1.8,1.9,1.514285714,3.53,5.935714286
E0,21/12/2002,Leeds,Southampton,1,1,D,0,0,D,C Foy,19,10,11,4,15,14,7,4,0,1,0,0,1.909,3.25,3.5,1.95,3.35,3.68,1.85,3.2,3.5,1.91,3.4,3.25,2,3.25,3.25,1.909,3.25,3.5,1.83,3.4,3.5,1.85,1.78,1.9,1.8,1.908285714,3.3,3.454285714
E0,21/12/2002,Newcastle,Fulham,2,0,H,1,0,H,A Wiley,19,6,14,0,5,10,7,6,0,2,0,1,1.533,3.5,5.5,1.6,3.8,5.9,1.6,3.4,4.6,1.44,3.75,6,1.53,3.4,6,1.533,3.4,6,1.53,3.4,5.5,1.8,1.84,1.72,2,1.538,3.521428571,5.642857143
E0,21/12/2002,West Brom,Sunderland,2,2,D,2,0,H,C Wilkes,9,11,5,7,22,15,8,10,2,1,0,0,2.375,2.875,2.875,2.31,3.15,3,2.2,3,2.9,2.25,3.2,2.75,2.25,3,3,2.25,3,3,2.2,3,3,1.95,1.65,2.2,1.61,2.262142857,3.032142857,2.932142857
E0,21/12/2002,West Ham,Bolton,1,1,D,1,0,H,S Bennett,13,6,6,3,13,9,7,4,0,1,0,0,1.833,3.25,3.75,1.86,3.4,4,1.85,3.2,3.5,1.67,3.4,4.33,1.91,3.25,3.5,1.833,3.25,3.75,1.83,3.2,3.75,1.92,1.73,1.83,1.83,1.826571429,3.278571429,3.797142857
E0,22/12/2002,Blackburn,Man United,1,0,H,1,0,H,D Elleray,9,12,3,6,8,10,7,8,0,1,0,0,4,3.5,1.727,4,3.4,1.81,3.8,3.1,1.8,4,3.4,1.73,4.33,3.25,1.73,4,3.25,1.8,4.5,3.3,1.66,1.7,1.9,1.8,1.9,4.09,3.314285714,1.751
E0,22/12/2002,Liverpool,Everton,0,0,D,0,0,D,G Poll,14,5,8,2,14,20,7,4,3,4,0,0,1.833,3.25,3.75,1.8,3.35,4.1,1.8,3.1,3.8,1.91,3.25,3.4,1.91,3.25,3.5,1.909,3.2,3.75,1.8,3.25,3.8,1.8,1.8,1.9,1.8,1.851714286,3.235714286,3.728571429
E0,23/12/2002,Man City,Tottenham,2,3,A,1,1,D,J Winter,19,9,18,9,6,7,7,9,2,3,0,1,2.25,3.25,2.75,2.33,3.2,2.79,2.2,3,2.9,2.2,3.25,2.75,2.25,3.25,2.75,2.25,3.25,2.75,2.2,3.2,2.8,1.7,1.9,1.83,1.83,2.24,3.2,2.784285714
E0,26/12/2002,Birmingham,Everton,1,1,D,1,1,D,D Elleray,6,8,3,5,16,21,0,4,1,1,0,1,2.5,3.2,2.5,2.5,3.15,2.58,2.5,3,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5,1.9,1.7,2,1.72,2.5,3.157142857,2.497142857
